message,author,timestamp,category,sentiment,keyword_mentioned,message_length
"I just found JavaScript! It was boring.","Eve","2025-02-11 13:45:09","tech",0.68,"JavaScript",39
"I just found a meme! It was weird.","Charlie","2025-02-11 13:45:14","humor",0.84,"meme",34
"I just shared a trick! It was amazing.","Eve","2025-02-11 13:45:19","other",0.51,"other",38
"I just shared Python! It was boring.","Bob","2025-02-11 13:45:24","tech",0.71,"Python",36
"I just tried an app! It was boring.","Alice","2025-02-11 13:45:29","other",0.67,"other",35
"I just saw recipe! It was boring.","Eve","2025-02-11 13:45:34","food",0.96,"recipe",33
"I just saw a trick! It was boring.","Bob","2025-02-11 13:45:39","other",0.3,"other",34
"I just loved a story! It was weird.","Charlie","2025-02-11 13:45:44","other",0.12,"other",35
"I just loved a meme! It was funny.","Eve","2025-02-11 13:45:49","humor",0.12,"meme",34
"I just loved travel! It was exciting.","Charlie","2025-02-11 13:45:54","travel",0.64,"travel",37
"I just saw a story! It was funny.","Charlie","2025-02-11 13:45:59","other",0.38,"other",33
"I just loved a story! It was weird.","Eve","2025-02-11 13:46:04","other",0.08,"other",35
"I just saw an app! It was boring.","Eve","2025-02-11 13:46:09","other",0.38,"other",33
"I just shared Python! It was exciting.","Eve","2025-02-11 13:46:14","tech",0.6,"Python",38
"I just found a story! It was weird.","Charlie","2025-02-11 13:46:19","other",0.19,"other",35
"I just shared game! It was exciting.","Bob","2025-02-11 13:46:24","gaming",0.05,"game",36
"I just saw an app! It was amazing.","Eve","2025-02-11 13:46:29","other",0.17,"other",34
"I just found Python! It was amazing.","Bob","2025-02-11 13:46:34","tech",0.66,"Python",36
"I just tried JavaScript! It was funny.","Eve","2025-02-11 13:46:39","tech",0.29,"JavaScript",38
"I just shared recipe! It was boring.","Eve","2025-02-11 13:46:44","food",0.8,"recipe",36
"I just saw travel! It was boring.","Charlie","2025-02-11 13:46:49","travel",0.36,"travel",33
"I just found a meme! It was weird.","Charlie","2025-02-11 13:46:54","humor",0.86,"meme",34
"I just loved game! It was funny.","Alice","2025-02-11 13:46:59","gaming",0.67,"game",32
"I just loved recipe! It was amazing.","Bob","2025-02-11 13:47:04","food",0.89,"recipe",36
"I just tried game! It was boring.","Charlie","2025-02-11 13:47:09","gaming",0.44,"game",33
"I just tried an app! It was amazing.","Alice","2025-02-11 13:47:14","other",0.71,"other",36
"I just loved Python! It was exciting.","Charlie","2025-02-11 13:47:19","tech",0.36,"Python",37
"I just loved a meme! It was funny.","Eve","2025-02-11 13:47:24","humor",0.93,"meme",34
